Section Title,Individual Course Name
PADI - Recreational,Scuba Diver
PADI - Recreational,Open Water Diver
PADI - Recreational,Adventure Diver
PADI - Recreational,Advanced Open Water Diver
PADI - Recreational,Rescue Diver
PADI - Recreational,Master Scuba Diver
PADI - Specialty,Enriched Air (Nitrox)
PADI - Specialty,Deep Diver
PADI - Specialty,Wreck Diver
PADI - Specialty,Sidemount Diver
PADI - Professional,Divemaster
PADI - Professional,Open Water Scuba Instructor
PADI - Technical,Tec 40 / 45 / 50
PADI - Technical,Tec 65 / Trimix Diver
SSI - Recreational,Basic Diver
SSI - Recreational,Open Water Diver
SSI - Recreational,Advanced Adventurer
SSI - Recreational,Diver Stress & Rescue
SSI - Specialty,Science of Diving
SSI - Specialty,Perfect Buoyancy
SSI - Professional,Dive Guide
SSI - Technical,Extended Range (XR)
SSI - Technical,Technical Extended Range
SDI - Recreational,Open Water Scuba Diver
SDI - Recreational,Advanced Adventure Diver
SDI - Specialty,Solo Diver
TDI - Technical,Intro to Tech
TDI - Technical,Advanced Nitrox
TDI - Technical,Decompression Procedures
TDI - Technical,Extended Range
TDI - Technical,Trimix / Advanced Trimix
TDI - Overhead,Cavern / Intro to Cave / Full Cave
NAUI - Recreational,Scuba Diver
NAUI - Recreational,Master Scuba Diver
NAUI - Technical,Helitrox Diver
NAUI - Technical,Extreme Exposure Diver
IANTD - Open Circuit,Open Water EANx Diver
IANTD - Open Circuit,Advanced Recreational Trimix
IANTD - Technical,Technical Diver
IANTD - Technical,Normoxic Trimix
IANTD - Technical,Expedition Trimix
PSAI - Recreational,Open Water Sport Diver
PSAI - Technical,Narcosis Management (Levels 1-7)
PSAI - Technical,Advanced Wreck Penetration
PSAI - Technical,Trimix Fundamentals (Level I)
PSAI - Technical,Explorer Trimix (Level III)
GUE - Foundational,GUE Fundamentals (Fundies)
GUE - Recreational,Recreational 1 / 2 / 3
GUE - Technical,Technical 1 / 2 / 3
GUE - Cave,Cave 1 / 2 / 3
RAID - Core,Open Water 20
RAID - Core,Explorer 30
RAID - Core,Advanced 35
RAID - Technical,Deco 40 / 50 / 60
BSAC - Grades,Ocean Diver
BSAC - Grades,Sports Diver
BSAC - Grades,Dive Leader
BSAC - Grades,Advanced Diver
CMAS - Diver,1-Star Diver
CMAS - Diver,2-Star Diver
CMAS - Diver,3-Star Diver
ANDI - SafeAir,Limited SafeAir User (LSU)
ANDI - SafeAir,Complete SafeAir User (CSU)
ANDI - Technical,Technical SafeAir Diver
SNSI - Recreational,Open Water Diver
SNSI - Specialty,Master Buoyancy & Trim
IDEA - Recreational,Open Water Pro Diver
ACUC - Core,Open Water Diver
