[Deco] depth=12m, nextStop=9m, ceiling=11.2m, GF=30%, mustStay=true
injected.js:37 [Deco] depth=12m, nextStop=9m, ceiling=10.4m, GF=30%, mustStay=true
injected.js:37 [Deco] depth=12m, nextStop=9m, ceiling=9.7m, GF=30%, mustStay=true
injected.js:37 [Deco] depth=12m, nextStop=9m, ceiling=9.0m, GF=30%, mustStay=true
injected.js:37 [Deco] depth=12m, nextStop=9m, ceiling=8.5m, GF=30%, mustStay=false
injected.js:37 [Deco] depth=9m, nextStop=6m, ceiling=7.0m, GF=40%, mustStay=true
injected.js:37 [Deco] depth=9m, nextStop=6m, ceiling=6.6m, GF=40%, mustStay=true
injected.js:37 [Deco] depth=9m, nextStop=6m, ceiling=6.2m, GF=40%, mustStay=true
injected.js:37 [Deco] depth=9m, nextStop=6m, ceiling=5.9m, GF=40%, mustStay=false
injected.js:37 [Deco] depth=6m, nextStop=3m, ceiling=4.5m, GF=50%, mustStay=true
injected.js:37 [Deco] depth=6m, nextStop=3m, ceiling=4.1m, GF=50%, mustStay=true
injected.js:37 [Deco] depth=6m, nextStop=3m, ceiling=3.8m, GF=50%, mustStay=true
injected.js:37 [Deco] depth=6m, nextStop=3m, ceiling=3.5m, GF=50%, mustStay=true
injected.js:37 [Deco] depth=6m, nextStop=3m, ceiling=3.3m, GF=50%, mustStay=true
injected.js:37 [Deco] depth=6m, nextStop=3m, ceiling=3.1m, GF=50%, mustStay=true
injected.js:37 [Deco] depth=6m, nextStop=3m, ceiling=2.9m, GF=50%, mustStay=false
injected.js:37 [Deco] depth=3m, nextStop=3m, ceiling=1.8m, GF=60%, mustStay=true
injected.js:37 [Deco] depth=3m, nextStop=3m, ceiling=1.6m, GF=60%, mustStay=true
injected.js:37 [Deco] depth=3m, nextStop=3m, ceiling=1.3m, GF=60%, mustStay=true
injected.js:37 [Deco] depth=3m, nextStop=3m, ceiling=1.1m, GF=60%, mustStay=true
injected.js:37 [Deco] depth=3m, nextStop=3m, ceiling=0.9m, GF=60%, mustStay=true
injected.js:37 [Deco] depth=3m, nextStop=3m, ceiling=0.8m, GF=60%, mustStay=true
injected.js:37 [Deco] depth=3m, nextStop=3m, ceiling=0.6m, GF=60%, mustStay=true
injected.js:37 [Deco] depth=3m, nextStop=3m, ceiling=0.5m, GF=60%, mustStay=true
injected.js:37 [Deco] depth=3m, nextStop=3m, ceiling=0.4m, GF=60%, mustStay=true
injected.js:37 [Deco] depth=3m, nextStop=3m, ceiling=0.2m, GF=60%, mustStay=true
injected.js:37 [Deco] depth=3m, nextStop=3m, ceiling=0.1m, GF=60%, mustStay=true
injected.js:37 [Deco] depth=3m, nextStop=3m, ceiling=0.0m, GF=60%, mustStay=false
