[Dive] descent: raw=1.67min, rounded=2min, bottomTime=25min
injected.js:37 [Deco] depth=18m, target=15m, ceiling=15.5m, rounded=16m, GF=37%, mustStay=true
injected.js:37 [Deco] depth=18m, target=15m, ceiling=14.6m, rounded=15m, GF=37%, mustStay=false
injected.js:37 [Deco] depth=15m, target=12m, ceiling=13.1m, rounded=14m, GF=43%, mustStay=true
injected.js:37 [Deco] depth=15m, target=12m, ceiling=12.2m, rounded=13m, GF=43%, mustStay=true
injected.js:37 [Deco] depth=15m, target=12m, ceiling=11.5m, rounded=12m, GF=43%, mustStay=false
injected.js:37 [Deco] depth=12m, target=9m, ceiling=10.4m, rounded=11m, GF=50%, mustStay=true
injected.js:37 [Deco] depth=12m, target=9m, ceiling=9.8m, rounded=10m, GF=50%, mustStay=true
injected.js:37 [Deco] depth=12m, target=9m, ceiling=9.3m, rounded=10m, GF=50%, mustStay=true
injected.js:37 [Deco] depth=12m, target=9m, ceiling=8.8m, rounded=9m, GF=50%, mustStay=false
injected.js:37 [Deco] depth=9m, target=6m, ceiling=7.8m, rounded=8m, GF=57%, mustStay=true
injected.js:37 [Deco] depth=9m, target=6m, ceiling=7.3m, rounded=8m, GF=57%, mustStay=true
injected.js:37 [Deco] depth=9m, target=6m, ceiling=6.8m, rounded=7m, GF=57%, mustStay=true
injected.js:37 [Deco] depth=9m, target=6m, ceiling=6.4m, rounded=7m, GF=57%, mustStay=true
injected.js:37 [Deco] depth=9m, target=6m, ceiling=6.2m, rounded=7m, GF=57%, mustStay=true
injected.js:37 [Deco] depth=9m, target=6m, ceiling=5.9m, rounded=6m, GF=57%, mustStay=false
injected.js:37 [Deco] depth=6m, target=3m, ceiling=5.1m, rounded=6m, GF=63%, mustStay=true
injected.js:37 [Deco] depth=6m, target=3m, ceiling=4.8m, rounded=5m, GF=63%, mustStay=true
injected.js:37 [Deco] depth=6m, target=3m, ceiling=4.5m, rounded=5m, GF=63%, mustStay=true
injected.js:37 [Deco] depth=6m, target=3m, ceiling=4.1m, rounded=5m, GF=63%, mustStay=true
injected.js:37 [Deco] depth=6m, target=3m, ceiling=3.9m, rounded=4m, GF=63%, mustStay=true
injected.js:37 [Deco] depth=6m, target=3m, ceiling=3.6m, rounded=4m, GF=63%, mustStay=true
injected.js:37 [Deco] depth=6m, target=3m, ceiling=3.3m, rounded=4m, GF=63%, mustStay=true
injected.js:37 [Deco] depth=6m, target=3m, ceiling=3.2m, rounded=4m, GF=63%, mustStay=true
injected.js:37 [Deco] depth=6m, target=3m, ceiling=3.0m, rounded=4m, GF=63%, mustStay=true
injected.js:37 [Deco] depth=6m, target=3m, ceiling=2.9m, rounded=3m, GF=63%, mustStay=false
injected.js:37 [Deco] depth=3m, target=0m, ceiling=2.2m, rounded=3m, GF=70%, mustStay=true
injected.js:37 [Deco] depth=3m, target=0m, ceiling=2.0m, rounded=3m, GF=70%, mustStay=true
injected.js:37 [Deco] depth=3m, target=0m, ceiling=1.9m, rounded=2m, GF=70%, mustStay=true
injected.js:37 [Deco] depth=3m, target=0m, ceiling=1.7m, rounded=2m, GF=70%, mustStay=true
injected.js:37 [Deco] depth=3m, target=0m, ceiling=1.5m, rounded=2m, GF=70%, mustStay=true
injected.js:37 [Deco] depth=3m, target=0m, ceiling=1.3m, rounded=2m, GF=70%, mustStay=true
injected.js:37 [Deco] depth=3m, target=0m, ceiling=1.1m, rounded=2m, GF=70%, mustStay=true
injected.js:37 [Deco] depth=3m, target=0m, ceiling=1.0m, rounded=1m, GF=70%, mustStay=true
injected.js:37 [Deco] depth=3m, target=0m, ceiling=0.9m, rounded=1m, GF=70%, mustStay=true
injected.js:37 [Deco] depth=3m, target=0m, ceiling=0.7m, rounded=1m, GF=70%, mustStay=true
injected.js:37 [Deco] depth=3m, target=0m, ceiling=0.6m, rounded=1m, GF=70%, mustStay=true
injected.js:37 [Deco] depth=3m, target=0m, ceiling=0.5m, rounded=1m, GF=70%, mustStay=true
injected.js:37 [Deco] depth=3m, target=0m, ceiling=0.4m, rounded=1m, GF=70%, mustStay=true
injected.js:37 [Deco] depth=3m, target=0m, ceiling=0.3m, rounded=1m, GF=70%, mustStay=true
injected.js:37 [Deco] depth=3m, target=0m, ceiling=0.2m, rounded=1m, GF=70%, mustStay=true
2injected.js:37 [Deco] depth=3m, target=0m, ceiling=0.1m, rounded=1m, GF=70%, mustStay=true
injected.js:37 [Deco] depth=3m, target=0m, ceiling=0.0m, rounded=0m, GF=70%, mustStay=false
