injected.js:37 [AuthContext] Notification initialize result: Object
injected.js:37 [AuthContext] No token obtained, skipping server registration
injected.js:37 [Dive] descent: raw=1.25min, rounded=2min, bottomTime=25min
injected.js:37 [Deco] depth=12m, target=9m, ceiling=9.3m, rounded=10m, GF=40%, mustStay=true
injected.js:37 [Deco] depth=12m, target=9m, ceiling=8.6m, rounded=9m, GF=40%, mustStay=false
injected.js:37 [Deco] depth=9m, target=6m, ceiling=6.8m, rounded=7m, GF=50%, mustStay=true
injected.js:37 [Deco] depth=9m, target=6m, ceiling=6.2m, rounded=7m, GF=50%, mustStay=true
injected.js:37 [Deco] depth=9m, target=6m, ceiling=5.8m, rounded=6m, GF=50%, mustStay=false
injected.js:37 [Deco] depth=6m, target=3m, ceiling=4.4m, rounded=5m, GF=60%, mustStay=true
injected.js:37 [Deco] depth=6m, target=3m, ceiling=4.0m, rounded=4m, GF=60%, mustStay=true
injected.js:37 [Deco] depth=6m, target=3m, ceiling=3.5m, rounded=4m, GF=60%, mustStay=true
injected.js:37 [Deco] depth=6m, target=3m, ceiling=3.1m, rounded=4m, GF=60%, mustStay=true
injected.js:37 [Deco] depth=6m, target=3m, ceiling=2.7m, rounded=3m, GF=60%, mustStay=false
injected.js:37 [Deco] depth=3m, target=0m, ceiling=1.7m, rounded=2m, GF=70%, mustStay=true
injected.js:37 [Deco] depth=3m, target=0m, ceiling=1.4m, rounded=2m, GF=70%, mustStay=true
injected.js:37 [Deco] depth=3m, target=0m, ceiling=1.1m, rounded=2m, GF=70%, mustStay=true
injected.js:37 [Deco] depth=3m, target=0m, ceiling=0.9m, rounded=1m, GF=70%, mustStay=true
injected.js:37 [Deco] depth=3m, target=0m, ceiling=0.6m, rounded=1m, GF=70%, mustStay=true
injected.js:37 [Deco] depth=3m, target=0m, ceiling=0.3m, rounded=1m, GF=70%, mustStay=true
injected.js:37 [Deco] depth=3m, target=0m, ceiling=0.1m, rounded=1m, GF=70%, mustStay=true
injected.js:37 [Deco] depth=3m, target=0m, ceiling=0.0m, rounded=0m, GF=70%, mustStay=false
